+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/map-WlZ9yiya.js               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 11712.000  | 11712.000  | 11712.000   | 11712.000  |
| 6     | 0   | 6    | 0   | 0   | 0   | GET    | /assets/route-CJUF4eR6.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1576.000   | 1576.000   | 9456.000    | 1576.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings3.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23793.000  | 261723.000  | 11896.500  |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 60305.000  | 964880.000  | 13401.111  |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /client                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 705.000    | 7755.000    | 352.500    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/simulator-context-fn0s3fwv.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 2970.000   | 2970.000   | 2970.000    | 2970.000   |
| 61    | 0   | 16   | 45  | 0   | 0   | GET    | /assets/button-CS9qg6Tt.js            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 843.000    | 13488.000   | 221.115    |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/root-BoSp76zW.css             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 26579.000  | 425264.000  | 5906.444   |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/root-JpS3BGeV.js              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 27925.000  | 446800.000  | 6205.556   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /assets/route-B_Zm-GyU.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2687.000   | 29557.000   | 1343.500   |
